@relation Train

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute class {0,1,2}

@data
-0.805939,0.614838,0.046936,1
-0.785522,0.612122,0.036987,0
-0.742428,-0.6527,0.092466,2
0.032918,-1.003425,0.079406,0
0.032466,-1.001954,0.081706,0
0.874531,-0.286782,0.065844,2
0.020141,-1.006701,0.15026,1
-0.786285,0.61142,0.037109,0
-0.809448,0.63913,0.048218,0
-0.854285,-0.539264,0.053404,2
0.99233,-0.664281,0.180583,2
0.032967,-1.002672,0.082736,0
0.033516,-1.002946,0.076782,0
0.019669,-1.031258,0.179978,1
0.037336,0.028642,-1.117089,1
0.084369,0.007344,-1.089537,0
-0.786072,0.610382,0.035065,0
-0.245162,-0.992915,0.12855,2
-0.832658,-0.392665,-0.173266,2
-0.809296,0.615295,0.046539,1
-0.796112,0.589722,0.041443,1
-0.714192,-0.684449,0.005406,2
-0.750422,-0.679003,0.079329,2
0.035914,0.130903,-1.043395,1
0.019062,0.032876,-0.998391,0
-0.78595,0.610138,0.038513,0
-0.749391,-0.665638,0.045917,2
0.019593,0.03238,-1.001105,0
0.022902,0.031929,-0.998505,0
0.034253,0.126022,-1.051642,1
0.021582,0.032041,-0.998481,0
-0.786255,0.611176,0.037628,0
0.049365,0.127001,-1.099626,1
-0.78598,0.610382,0.038452,0
0.023337,-0.003799,-0.899545,1
0.033203,-1.00234,0.081364,0
0.02181,0.030331,-0.998629,0
0.019684,0.031915,-0.999134,0
-0.78653,0.610809,0.04126,0
0.018551,0.031794,-0.99966,0
0.033218,-1.002318,0.07874,0
-0.786285,0.609894,0.039948,0
-0.786133,0.612091,0.036255,0
0.004793,-0.064303,-1.126525,1
-0.78595,0.610077,0.039276,0
-0.768707,0.626923,0.035645,1
1.051418,-0.131898,0.020284,2
0.023981,0.063777,-0.995061,1
0.032985,-1.003921,0.079921,0
0.018609,0.068411,-0.862701,1
-0.004767,-0.043341,-0.925531,1
0.022475,-0.029188,-1.029813,1
-0.773315,0.634247,0.042511,1
